LAMMPS data file via write_data, version 3 Mar 2020, timestep = 40000000

30940 atoms
1 atom types

0.0000000000000000e+00 3.0000000000000000e+01 xlo xhi
0.0000000000000000e+00 3.0000000000000000e+01 ylo yhi
0.0000000000000000e+00 3.0000000000000000e+01 zlo zhi
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 xy xz yz

Atoms # sphere

16255 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1887102797627842e+00 9.5944884354894711e-01 2.9014346122529746e+00 13 0 5
12487 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1986156904575713e+00 5.8713208436378403e+00 3.0932882338631420e+00 278 -1 6
16500 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8267856216467528e+00 1.4140124456619652e+00 2.3172507911675293e+00 -189 0 5
11330 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7655824733004311e+00 4.1296736948320811e+00 2.9782208800371786e+00 153 0 5
29980 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8449040830672905e+00 3.5665289562810094e+00 3.7854453209149557e+00 444 0 8
18253 1 1.0000000000000000e+00 1.9098593171027443e+00 1.4719118257540247e+00 1.9493119646070736e+00 6.7041324562766680e-01 132 0 5
30689 1 1.0000000000000000e+00 1.9098593171027443e+00 1.6169673151638875e+00 3.8739312250676332e+00 5.8540905749977590e+00 81 0 5
5018 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1073797330017479e+00 2.4617184516664441e+00 5.0112064453544845e+00 31 0 5
21426 1 1.0000000000000000e+00 1.9098593171027443e+00 2.9519834719770904e-02 7.7451154986068826e-01 4.9662032772600870e+00 308 0 6
20133 1 1.0000000000000000e+00 1.9098593171027443e+00 1.4692648281637457e+00 4.6458120865120760e+00 5.2020732903327493e+00 128 -1 6
12794 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6954050205297913e+00 6.3166178274688944e-01 5.2805313404337655e+00 -207 -1 3
2385 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1985049453225083e+00 4.1918551669117470e+00 1.5024461359711130e+00 -280 -1 7
11065 1 1.0000000000000000e+00 1.9098593171027443e+00 1.6790467377140397e+00 4.5077476729006651e+00 3.8569759675650768e+00 36 0 5
1810 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7333706543556504e+00 5.0883991284317389e+00 2.8334514435306031e+00 284 -1 7
24894 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7904533842760166e+00 5.4582822864386928e+00 3.7528936903250374e+00 -57 -1 5
16020 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8568393809038228e+00 2.0826882230860542e+00 3.9629788673824580e+00 328 0 6
19097 1 1.0000000000000000e+00 1.9098593171027443e+00 1.8805543927706174e+00 2.7842341109941557e+00 1.2335923758253793e+00 152 -1 6
24921 1 1.0000000000000000e+00 1.9098593171027443e+00 2.0017879847661266e+00 2.4481223432093651e+00 2.1599684674448523e+00 79 -1 5
1203 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7263891081263631e+00 5.9376190964560447e+00 5.0077687631129164e+00 -89 -1 9
4060 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7105159377158681e+00 1.3380043894407239e+00 4.5998985472544174e+00 171 0 5
12254 1 1.0000000000000000e+00 1.9098593171027443e+00 1.1837302554549936e+00 1.7529906380526954e+00 1.6605174040137336e+00 -184 0 5
5112 1 1.0000000000000000e+00 1.9098593171027443e+00 1.0788308911048388e+00 3.4271543485337723e+00 3.1354361867268317e+00 -133 0 5
23359 1 1.0000000000000000e+00 1.9098593171027443e+00 1.0307901159572832e+00 2.5891238722596714e+00 2.1033035765836354e+00 -290 0 8
24639 1 1.0000000000000000e+00 1.9098593171027443e+00 2.8967260851575620e+00 1.1177349236982684e-01 2.5729595172411766e+00 -248 0 7
24871 1 1.0000000000000000e+00 1.9098593171027443e+00 2.2637935367908795e+00 1.7532881727459122e+00 1.5295075172715555e+00 503 0 7
18532 1 1.0000000000000000e+00 1.9098593171027443e+00 4.3264574045075168e+00 4.1290976058984091e-01 4.2685795981085546e+00 356 0 7
25919 1 1.0000000000000000e+00 1.9098593171027443e+00 7.9196634874147631e-01 5.0921462915676328e+00 1.6263259986500869e+00 -70 -1 9
11636 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6293566875268271e+00 5.7965495323100829e+00 2.3594293694808117e+00 423 0 7
11031 1 1.0000000000000000e+00 1.9098593171027443e+00 2.3205506916102761e+00 1.4996427745714851e+00 5.3506409062818614e+00 289 0 6
27475 1 1.0000000000000000e+00 1.9098593171027443e+00 2.1645691087343786e+00 1.6499910833473668e+00 3.1650740008343097e+00 147 0 6
25898 1 1.0000000000000000e+00 1.9098593171027443e+00 2.0819076365442313e+00 3.7582876392888256e+00 1.1926013547298591e+00 -302 -1 8
18228 1 1.0000000000000000e+00 1.9098593171027443e+00 2.1950421591504692e+00 3.2710331740018721e+00 2.9195451934277790e+00 -155 0 5
25004 1 1.0000000000000000e+00 1.9098593171027443e+00 3.3985827198879868e+00 5.5875555721676484e+00 5.1197625774352051e+00 393 -1 7
25529 1 1.0000000000000000e+00 1.9098593171027443e+00 2.0149641234650946e+00 4.1840064635198948e-01 2.8914356366147329e+00 -142 -1 4
16934 1 1.0000000000000000e+00 1.9098593171027443e+00 2.4929276261337172e+00 2.8929659493511033e+00 4.0718298239145287e+00 440 0 6
15782 1 1.0000000000000000e+00 1.9098593171027443e+00 2.4996494767252937e+00 2.1304830571927051e+00 6.6111005586990934e-01 148 0 6
8010 1 1.0000000000000000e+00 1.9098593171027443e+00 7.6605893003643977e-01 5.4755100005877892e+00 4.7572682172812364e+00 41 -1 5
25858 1 1.0000000000000000e+00 1.9098593171027443e+00 2.1401047735231375e+00 4.0527492469002206e+00 2.6379153424064156e-01 -229 -1 4
26072 1 1.0000000000000000e+00 1.9098593171027443e+00 2.8869966192684213e+00 4.6366327088918338e+00 5.0529516147076885e+00 395 -1 6
514 1 1.0000000000000000e+00 1.9098593171027443e+00 2.1162080091583895e+00 5.1130446209419809e+00 4.6225219629603176e+00 -278 -1 4
11169 1 1.0000000000000000e+00 1.9098593171027443e+00 2.3431778893627908e+00 5.8031742489415246e+00 4.9848682833735602e-01 334 0 6
11486 1 1.0000000000000000e+00 1.9098593171027443e+00 2.2174930858541262e+00 2.3071619850789138e+00 4.8329018828947596e+00 41 0 5
18746 1 1.0000000000000000e+00 1.9098593171027443e+00 2.5656355924350951e+00 5.8645772067689146e+00 3.3160287259983736e+00 210 -1 7
29013 1 1.0000000000000000e+00 1.9098593171027443e+00 5.7161842350176573e-02 9.8275503695354927e-01 6.4207816703122866e-01 -485 0 7
18362 1 1.0000000000000000e+00 1.9098593171027443e+00 2.9644191245463438e+00 3.9765953396060989e+00 8.5761803543079684e-01 -126 0 5
17465 1 1.0000000000000000e+00 1.9098593171027443e+00 3.4109279888655313e+00 1.8165551851741553e+00 9.0880356893165082e-01 -103 0 4
17850 1 1.0000000000000000e+00 1.9098593171027443e+00 1.7533553883654851e-01 3.6346851104600462e+00 4.7323167884511106e+00 -125 0 5
24045 1 1.0000000000000000e+00 1.9098593171027443e+00 1.3215295181107096e+00 1.4714112091925009e+00 5.5025575340785675e+00 174 0 6
19226 1 1.0000000000000000e+00 1.9098593171027443e+00 3.3885094612079318e+00 5.3625889942686609e+00 3.3077028371160564e+00 342 -1 6
18754 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6353399365386121e+00 3.7539702050721928e+00 4.5239880102874359e+00 63 -1 5
191 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6298114056551412e+00 4.5387480793711523e+00 3.9993092880555658e+00 -31 -1 6
12215 1 1.0000000000000000e+00 1.9098593171027443e+00 3.5234008533025634e+00 3.2832182881045533e+00 4.2107686709753702e+00 123 0 5
7219 1 1.0000000000000000e+00 1.9098593171027443e+00 3.6049818703209628e+00 3.2179389990039859e+00 3.2567155407220438e+00 -301 -1 8
24129 1 1.0000000000000000e+00 1.9098593171027443e+00 6.6384797777417259e-01 5.7395481508485444e+00 2.3229084148130816e+00 11 0 4
9648 1 1.0000000000000000e+00 1.9098593171027443e+00 2.7201529041956490e-01 5.0606238655177318e+00 5.4253125484481117e+00 236 0 7
10222 1 1.0000000000000000e+00 1.9098593171027443e+00 2.8606433283108244e+00 2.0081424880849807e+00 4.1581539325230850e+00 469 0 7
17128 1 1.0000000000000000e+00 1.9098593171027443e+00 3.4979159016700803e+00 4.1956710837223854e+00 2.8412867264265151e+00 -415 0 8
18090 1 1.0000000000000000e+00 1.9098593171027443e+00 3.4210171491378252e+00 2.4343728793019390e+00 2.6841768794624965e+00 103 0 5
285 1 1.0000000000000000e+00 1.9098593171027443e+00 3.1118919413295014e+00 5.3225034922954606e+00 4.2320824814854863e+00 195 -1 5
14902 1 1.0000000000000000e+00 1.9098593171027443e+00 3.1423790193575347e+00 3.9976451431529409e+00 1.8903573179176238e+00 28 -1 6
20296 1 1.0000000000000000e+00 1.9098593171027443e+00 4.9779352432428042e-01 5.5468183551251773e+00 6.6031000359616698e-01 25 -1 6
29742 1 1.0000000000000000e+00 1.9098593171027443e+00 4.6436068915536826e+00 3.1358793060092738e-01 5.2308365273448736e+00 209 0 6
22120 1 1.0000000000000000e+00 1.9098593171027443e+00 2.4975647605127946e+00 3.7604787518717480e+00 5.4668420122014805e+00 -320 -1 4
17938 1 1.0000000000000000e+00 1.9098593171027443e+00 2.8053144604502673e+00 3.0809086934211729e+00 1.1941646352181032e+00 357 0 6
18645 1 1.0000000000000000e+00 1.9098593171027443e+00 2.7394455619344340e+00 1.8025180401661673e+00 2.4062044571151158e+00 224 0 5
18831 1 1.0000000000000000e+00 1.9098593171027443e+00 2.1871444323391613e+00 5.7222785373942457e+00 1.4464176981204757e+00 -4 -1 5
25354 1 1.0000000000000000e+00 1.9098593171027443e+00 3.1040176457046136e+00 5.9868337350771643e+00 1.5781411699590231e+00 -494 -1 9
5750 1 1.0000000000000000e+00 1.9098593171027443e+00 3.1641845223023721e+00 2.9794730401145517e+00 5.0504136417858012e+00 -153 0 5
22607 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6601631143713971e+00 2.4581863131591084e+00 3.2544560911126483e+00 -454 0 4
12511 1 1.0000000000000000e+00 1.9098593171027443e+00 2.8239189686168280e+00 3.6961723984138128e+00 3.5564748646694433e+00 93 -1 5
16393 1 1.0000000000000000e+00 1.9098593171027443e+00 3.1931799498339584e+00 2.3511217474702799e+00 1.7162914386336601e+00 -507 0 3
16460 1 1.0000000000000000e+00 1.9098593171027443e+00 2.6351887142129686e+00 4.7173394647901885e+00 3.0225398838279882e+00 305 0 6
6694 1 1.0000000000000000e+00 1.9098593171027443e+00 3.4446284076067961e+00 4.5048518815824048e+00 7.6245605350465720e-02 -393 -1 3
16811 1 1.0000000000000000e+00 1.9098593171027443e+00 3.3872706564422721e+00 2.9937872303276518e+00 4.4951674249965057e-01 -75 0 5
18563 1 1.0000000000000000e+00 1.9098593171027443e+00 2.7256295545761020e+00 3.1098412557552169e+00 2.1547758730496467e+00 -1 0 6
11962 1 1.0000000000000000e+00 1.9098593171027443e+00 3.3665254836418335e+00 5.5815920925446960e+00 7.3528299645912065e-01 -390 0 4
